#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
495,51988,207,0.2817113,0.4739082,2.320319,1.099618,-20.40405,1639.537,0.02384331
517,52024,360,0.07723631,0.880696,1.888738,1.663404,-17.19365,2203.247,0.03000705
396,51816,276,0.2942613,0.1359981,2.368204,0.3220712,-16.98236,2682.965,0.0362667
398,51789,10,0.05435418,2.306458,1.81977,4.197221,-15.47931,2138.112,0.04571947
438,51884,384,0.1568366,0.7648842,1.28195,0.9805437,-6.315646,1328.481,0.04993869
1397,53119,190,0.2679094,0.2147336,1.920366,0.4123669,-14.3843,2752.637,0.01369871
450,51908,575,0.1112474,0.341556,1.89412,0.6469482,-22.56711,1109.689,0.0229581
883,52430,320,0.1773402,3.028183,1.61394,4.887306,-9.267194,2174.339,0.015641
1811,53533,122,0.2306872,0.4513361,2.079299,0.9384628,-16.43305,1004.002,0.02773762
565,52225,383,0.2967729,0.1707854,2.185541,0.3732586,-16.616,2577.094,0.04973055
2504,54179,639,0.06329135,2.810742,2.034963,5.719755,-25.17962,2802.729,0.02759106
2603,54479,259,0.06738997,2.972589,2.067743,6.14655,-27.85945,4510.373,0.02857031
2745,54231,295,0.265141,1.131131,1.829793,2.069736,-8.781984,944.1344,0.0144214
2355,53792,105,0.0551085,1.599159,1.856589,2.96898,-9.49496,1186.639,0.03021897
1060,52636,293,0.1207952,0.3895285,2.1046,0.8198016,-27.91396,1886.237,0.04288088
624,52377,629,0.2622212,0.693274,2.52641,1.751494,-22.66697,1245.307,0.01507206
2533,54585,612,0.1472984,0.6300117,1.699741,1.070857,-8.637259,873.853,0.05242494
1218,52709,54,0.05502596,0.3048607,2.144933,0.6539056,-23.61081,3987.076,0.01521724
2649,54212,215,0.1266571,1.036598,1.842654,1.910092,-8.841555,2140.768,0.05069542
2669,54086,451,0.08929483,0.5544354,1.979783,1.097662,-21.56355,9483.637,0.4328821
