#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
1.25667706519926,-0.971365560424599,1.2567227,-0.9713791,20.5778,669,52559,201,0.3268561,20.16075,22.26842,105.5214,43.31742,15.586,15.233,11.874,0.3530006,3.359
5.05132014839876,-0.987790223633977,5.0511342,-0.9876043,19.83971,1088,52929,211,0.1020084,68.25687,71.23792,207.8655,47.17815,15.513,15.371,12.434,0.1419992,2.937
7.01524648812557,-1.00610945180933,7.0151182,-1.0061595,19.82522,391,51782,121,0.08651633,33.68182,62.72233,207.5215,53.02399,15.792,15.431,11.96,0.3610001,3.471
8.07314170060488,-1.02595493279235,8.0730825,-1.0259455,19.77189,1494,52937,297,0.2528644,15.61062,39.86655,172.1936,67.52401,14.441,13.92,10.239,0.5209999,3.681
21.4652798060094,-1.01152734012478,21.4652513,-1.011541,19.48874,1501,53740,239,0.1347953,19.34346,54.70221,252.3876,91.20449,15.104,14.707,11.042,0.3970003,3.665
4.29083961294953,-0.596889245428515,4.2908466,-0.5968911,20.53096,1491,52996,69,0.1912325,9.409975,27.35699,122.3498,39.97837,15.982,15.12,11.942,0.8620005,3.177999
2.33899085385997,-0.141249803433432,2.3385169,-0.1413004,19.99693,686,52519,112,0.09152766,294.0265,138.735,453.9034,55.76247,15.505,15.157,12.081,0.3480005,3.075999
5.10791280064706,-0.0817204968771318,5.107891,-0.0815953,20.43257,687,52518,32,0.2643864,14.04805,28.34734,124.8568,50.67159,15.896,15.339,11.575,0.5570002,3.764
7.89734641113125,-0.0772072343102016,7.8974067,-0.0773654,20.26469,1543,53738,55,0.1667978,16.76504,32.73804,134.0117,39.9341,16.376,15.761,11.391,0.6149998,4.37
22.1948584551877,13.287333552141,22.1947297,13.2878833,18.85714,425,51898,249,0.06172426,29.66807,82.06544,293.3026,92.79792,14.269,14.101,10.409,0.1680002,3.691999
27.9124794426418,13.0447877363955,27.9125101,13.0448212,19.18485,430,51877,241,0.09479155,12.84389,36.67879,122.0393,43.69108,14.511,14.27,10.753,0.2409992,3.517
20.9044804554034,14.5572872601949,20.905327,14.5566233,19.85272,424,51893,156,0.05076016,17.74595,24.57937,93.7382,25.45368,14.737,14.392,10.675,0.3450003,3.717
9.95171457577857,15.5594985073864,9.9516421,15.5595849,18.68869,419,51879,332,0.03833985,215.449,156.4497,614.4531,103.2189,14.68,14.499,10.711,0.1810007,3.787999
19.5127947439924,15.5401188726497,19.512799,15.5402032,17.67254,423,51821,561,0.03821565,27.46244,208.6437,1024.234,332.0488,12.592,12.474,8.54,0.118,3.934
23.1467673545132,-9.77668825102859,23.146686,-9.7767209,18.34515,2878,54465,74,0.0998558,16.53862,23.54256,87.01449,49.65161,13.575,13.391,10.683,0.184,2.708
11.4005329385143,-10.6119850772109,11.4016069,-10.6118751,18.39957,656,52148,208,0.09719023,24.98255,42.67778,254.8067,92.75261,14.407,14.304,10.492,0.1029997,3.812
11.2109992007134,-10.3562756986008,11.2104579,-10.356801,19.28784,655,52162,27,0.03628796,14.70855,27.06801,88.18416,29.69359,14.81,14.676,11.704,0.1340008,2.971999
20.9739540642729,-9.47468186837603,20.9739436,-9.4748217,19.04863,661,52163,499,0.04384619,56.16259,58.38216,191.6483,35.3562,14.84,14.74,11.347,0.1000004,3.393
