#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
299,51671,98,0.3255792,0.4386702,1.966044,0.8624448,-10.47909,797.6859,0.03087739
487,51943,391,0.4868797,0.5383299,1.721219,0.9265839,-7.499691,868.783,0.04178585
525,52295,148,0.306345,0.3162144,2.211872,0.6994256,-19.8762,1376.705,0.02514702
1592,52990,18,0.5841894,0.7617553,1.528165,1.164088,-6.518604,459.9291,0.01962814
1839,53471,398,0.5739516,0.4033564,2.299175,0.927387,-16.11716,1162.712,0.01711633
1844,54138,112,0.5256413,0.5879771,1.822562,1.071625,-6.350803,717.105,0.02177914
2168,53886,484,0.264278,1.698867,1.686879,2.865784,-7.715301,2333.71,0.04254047
2222,53799,194,0.1426254,1.1999,2.510511,3.012361,-24.84218,3572.795,0.02418874
2520,54584,249,0.1382551,0.2633382,2.237825,0.5893047,-24.13497,5197.323,0.04823577
2784,54529,535,0.1600988,3.885899,1.379776,5.361671,-5.849254,354.0004,0.020434
476,52314,523,0.05026412,0.642544,2.033772,1.306788,-28.08086,3685.079,0.06889841
502,51957,557,0.2201104,0.4174479,2.10458,0.8785526,-13.21841,832.4188,0.06144398
539,52017,586,0.1346648,0.4132285,2.033846,0.8404432,-13.14289,2292.539,0.05099057
630,52050,513,0.3574548,2.730232,1.56037,4.260173,-6.238886,313.5915,0.01740545
1223,52781,471,0.05014781,0.8385926,2.109372,1.768904,-22.88305,3397.969,0.02880776
1419,53144,552,0.09733227,1.025839,2.062574,2.115869,-11.93944,2022.419,0.0167305
1807,54175,581,0.4374769,1.259525,1.448914,1.824943,-6.09305,253.4313,0.02645691
1923,53319,382,0.1395377,0.1661138,2.44206,0.4056597,-30.15136,3421.211,0.03154486
2246,53767,66,0.0863796,0.5015432,1.797772,0.9016601,-13.28217,2033.969,0.01130901
2872,54533,104,0.5680913,0.750306,1.508164,1.131584,-4.146062,114.8775,0.02120407
396,51816,276,0.2942613,0.1359981,2.368204,0.3220712,-16.98236,2682.965,0.0362667
398,51789,10,0.05435418,2.306458,1.81977,4.197221,-15.47931,2138.112,0.04571947
438,51884,384,0.1568366,0.7648842,1.28195,0.9805437,-6.315646,1328.481,0.04993869
498,51984,104,0.4614837,0.5001677,2.346257,1.173522,-10.74795,462.6565,0.01426796
517,52024,360,0.07723631,0.880696,1.888738,1.663404,-17.19365,2203.247,0.03000705
1397,53119,190,0.2679094,0.2147336,1.920366,0.4123669,-14.3843,2752.637,0.01369871
421,51821,307,0.1717544,0.8818145,0.9756899,0.8603775,-3.91738,835.9516,0.04689745
613,52345,99,0.07809116,0.7755668,1.956236,1.517192,-22.08883,5256.383,0.01029091
995,52731,4,0.1601164,0.1682545,2.572487,0.4328325,-25.75145,3359.375,0.01523244
1444,53054,202,0.1145197,0.3508296,2.046999,0.7181479,-12.26691,2711.675,0.02625755
2015,53819,143,0.4475948,1.472403,1.096355,1.614276,-3.703637,304.7856,0.01998346
1229,52723,489,0.3949879,4.211508,1.551663,6.534841,-6.657425,760.4915,0.0230568
2582,54139,125,0.1331618,1.914447,2.120395,4.059383,-20.45918,4795.136,0.04058812
2656,54484,131,0.05026987,0.2666491,2.234088,0.5957174,-28.28315,1813.709,0.02607697
498,51984,318,0.07506416,1.231626,2.29719,2.829279,-31.01656,3829.025,0.01333245
2364,53737,458,0.08180236,0.1944637,2.303692,0.4479845,-37.89765,2499.298,0.03082279
2645,54477,133,0.4930311,0.7994121,2.459721,1.96633,-14.06366,937.1426,0.02225282
278,51900,527,0.09478367,0.4972242,1.955276,0.9722104,-11.29103,1421.419,0.03967275
495,51988,207,0.2817113,0.4739082,2.320319,1.099618,-20.40405,1639.537,0.02384331
564,52224,322,0.060387,0.7621899,2.16548,1.650507,-21.58853,1887.681,0.03116452
1873,54437,413,0.3679648,0.5206459,2.377883,1.238035,-11.63341,1955.585,0.07418384
2199,53556,193,0.35581,1.296597,1.520505,1.971482,-6.133187,559.7369,0.04131987
