RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,redshift,h_beta_flux,D_L_Mpc,D_L_cm,L_Hbeta,log_L_Hbeta,M_BH_Msun,log_M_BH,log_L_bol,L_bol,L_Edd,log_L_Edd,Edd_Ratio,log_Edd_Ratio
207.08974,38.56363,2014,440,53460,-22.59,45.031,0.004,42.18,0.1,1407.6,516.9,62.6,9.8,16.72,7.24,0.32,-0.31,0.2473611,574.8809,1283.1523697056764,3.959394498924677e+27,1.1325184724248253e+42,42.05404529448773,5117483.861974836,6.709056481785676,44.92080257681847,8.333022928886327e+44,7.062127729525274e+44,44.84893556818691,1.179959248548806,0.0718670086315544
207.09299,24.94727,2115,265,53535,-23.27,45.369,0.004,42.51,0.02,4834.3,232.5,60.3,3.6,23.73,8.48,0.04,-1.21,0.2934271,183.9163,1559.369421906205,4.811711264113537e+27,5.35092917728472e+41,41.72842920286774,38783916.83243026,7.588651666857492,44.61472345069567,4.118351878696482e+44,5.3521805228753755e+45,45.72853075325873,0.07694717809114483,-1.1138073025630582
207.11195,-0.99553,300,206,51943,-22.57,45.117,0.005,42.22,0.05,5518.0,379.1,61.1,6.8,19.33,8.47,0.06,-1.45,0.2341849,114.511,1206.095644413215,3.7216222893015097e+27,1.9930659036272532e+41,41.299521659517566,28215802.91198208,7.450492413113304,44.21155035994651,1.6276100392060327e+44,3.893780801853527e+45,45.59037149951454,0.041800248191455815,-1.3788211395680339
207.18936,45.30266,1465,30,53082,-24.04,45.638,0.003,42.92,0.01,7335.7,202.6,80.5,2.8,32.75,8.98,0.02,-1.44,,,,,,,,,,,,,,
207.2282,43.05253,1345,498,52814,-24.09,45.718,0.002,42.86,0.05,4295.8,192.0,61.1,6.9,33.55,8.55,0.04,-0.93,,,,,,,,,,,,,,
207.36906,3.98487,855,251,52375,-22.46,45.071,0.006,42.27,0.04,7371.3,454.3,74.3,6.6,17.13,8.7,0.05,-1.73,0.2534572,55.67508,1319.1017210541268,4.070322606396133e+27,1.159119942141241e+41,41.064128377736616,36570858.69810166,7.5631351578624875,43.99028067507242,9.778689922328366e+43,5.046778500338029e+45,45.70301424426373,0.019376102838025083,-1.7127335691913046
207.40871,3.59552,855,250,52375,-22.41,45.114,0.004,41.81,0.04,3463.5,393.3,23.2,2.7,17.77,8.06,0.1,-1.05,0.2024562,112.2265,1024.2357112997345,3.160461170992943e+27,1.4086600590892561e+41,41.14880620086378,9058103.61349946,6.957037284166954,44.069877828811954,1.1745670915129876e+44,1.2500182986629255e+45,45.09691637056819,0.0939639917887087,-1.0270385417562362
207.44894,4.86781,854,621,52373,-22.48,45.074,0.003,42.16,0.02,2892.4,300.9,56.1,3.5,21.63,7.89,0.09,-0.91,0.1867498,341.4805,936.1922829392396,2.8887875380346285e+27,3.5810218960774605e+41,41.55400697650381,10954487.485924913,7.039592063572537,44.450766557913575,2.8233619526941365e+44,1.5117192730576377e+45,45.17947114997377,0.1867649637742291,-0.7287045920601994
207.53564,23.52947,2783,397,54524,-23.27,45.392,0.005,42.41,0.02,11098.1,776.5,47.9,2.5,31.5,9.21,0.06,-1.92,0.2706638,82.67503,1421.5735293777775,4.386517567922479e+27,1.9990514476482266e+41,41.3008239712778,114339069.14490816,8.05819465222253,44.21277453300113,1.63220435766018e+44,1.5778791541997324e+46,46.19807373862377,0.010344292548107084,-1.985299205622636
207.55103,18.21636,2755,65,54507,-22.88,45.194,0.007,42.51,0.01,10247.0,723.9,95.5,4.2,20.24,9.04,0.06,-1.95,0.2155004,156.4176,1098.360920205952,3.3891876662276745e+27,2.2578064873206377e+41,41.35368671655695,104732115.71468437,8.02007987689326,44.262465513563534,1.83006077915795e+44,1.4453031968626443e+46,46.15995896329449,0.012662123650805648,-1.8974934497309615
207.72105,25.39171,2115,556,53535,-23.32,45.33,0.004,42.32,0.02,4418.5,454.9,43.7,1.9,24.04,8.38,0.09,-1.15,0.2988524,146.7687,1592.579113541373,4.9141856650308896e+27,4.4539612363808535e+41,41.64874643297212,29075109.287152056,7.463521355824144,44.539821646993786,3.465944842341496e+44,4.0123650816269833e+45,45.60340044222538,0.0863815921988854,-1.063578795231595
207.7793,65.52428,497,44,51989,-22.93,45.2,0.001,42.57,0.02,6398.9,3786.5,103.1,5.8,16.41,8.64,0.51,-1.54,0.2987612,130.8399,1592.0196973089012,4.9124594869044623e+27,3.967784084733041e+41,41.59854803108286,56959376.46911826,7.755565226459147,44.49263514921789,3.10910328206559e+44,7.86039395273832e+45,45.895444312860384,0.039554038903895826,-1.4028091636424942
207.89856,13.95609,1778,350,53883,-22.54,45.018,0.006,41.97,0.04,3155.7,310.4,40.4,4.0,15.51,7.93,0.09,-1.02,0.2591701,173.6967,1352.9608122990755,4.174800845129845e+27,3.8042842299137494e+41,41.58027295696983,13513371.18071943,7.130763705983251,44.47545657955164,2.9885228416690736e+44,1.8648452229392813e+45,45.270642792384486,0.16025581130849587,-0.795186212832848
